便塊除去	摘便
電撃性肝炎	劇症肝炎
ＴＨＡ	無し
頚椎症の悪化	頚椎症
ＧＯＴ軽度上昇	ＧＯＴ増加
消化器:肝胆道系酵素上昇の原因精査	肝酵素上昇
急性上気道炎咽頭痛	無し
シャント炎症	動静脈瘻部位炎症
たこいぼ胃びらん	いぼ状胃炎
両手指咬創	咬刺傷
抗ギョーコ剤の内服、食道静脈瘤なし	抗凝固療法
シャイドレ-ジャー症候群	シャイ・ドレーガー症候群
両下肢の発赤	下肢発赤
膵酵素止昇	膵酵素増加
腎癌骨転移	無し
声のかれ	嗄声
シャント造影	血管造影
内膜症（子宮）	子宮内膜症
病状悪化死亡【腎細胞癌】	腎細胞癌
右変形性足関節症	変形性足関節症
尿蛋白異常	尿蛋白陽性
腹壁瘢痕ヘルニアの増悪	瘢痕ヘルニア
左側腹部の湿疹	湿疹
突然の頭痛	頭痛
大腸癌術後	大腸癌
Ｓ状結腸癌（手術）	Ｓ状結腸の悪性新生物
左人工水晶体眼	眼内レンズ挿入眼
顔面、腹部の膨疹	膨疹
発疹、そう痒	そう痒性皮疹
アレルギー皮膚症状	アレルギー性皮膚反応
進行肝細胞癌	肝細胞癌
嘔気（月経痛）	無し
左片肺（右肺全摘後）	肺全摘除
Ｗｉｌｍｓ腫瘍→１～２才時にｏｐｅ	ウィルムス腫瘍
低カルシウム	カルシウム低値
おしっこの回数が増えた	頻尿
皮フ癌（左下肢）	皮膚癌
右背部～脇腹つれ	筋痙攣
右大腿骨頸部骨折	大腿骨頚部骨折
・急性虫垂炎（１８歳、手術）	急性虫垂炎
多血症【赤血球増加症ＮＯＳ】	赤血球増加症
出血（気管孔）	気管出血
足の擦りむき	皮膚擦過傷
発作性心房細動に対してカテーテルアブレーション後	発作性心房細動
前腕静脈炎	上肢静脈炎
頻脈性心房細動誘発性心筋症	無し
打撲（頭部）	頭部挫傷
子宮体がん	子宮体部癌
指の痛み	手指痛
本態性血小板血症に対しアスピリン使用	非承認の適応に対する薬剤投与
（両）白内障ｏｐｅ後	白内障手術
接触皮フ炎	接触皮膚炎
大動脈弁上狭窄症	大動脈弁上狭窄
血液ⅩⅠ凝固因子欠乏	凝固第ＸＩ因子量減少
ピアスの穴の化膿	処置後創部感染
歯（右上４番）の欠損	歯牙破折
通風	痛風
ＬＤＬコレステロール低下	低比重リポ蛋白コレステロール減少
小球性低色素性貧血	低色素性小球性貧血
左鎖骨窩動脈狭窄症	鎖骨下動脈狭窄
潰瘍部からの出血【十二指腸潰瘍】	出血性十二指腸潰瘍
右手手首の水疱様の湿疹	小水疱性湿疹
１９７５年胆嚢摘出術	胆嚢切除
挿入時痛	処置による疼痛
子宮内膜症（卵巣）手術	卵巣子宮内膜症
胃粘膜上皮化成	胃粘膜の腸上皮化生
踵の皮膚乾燥	皮膚乾燥
Ｓ状結腸破裂	結腸穿孔
瘡蓋（左口角、右外耳）	痂皮
２４才虫垂炎	虫垂炎
太ももに赤い発疹	両下肢皮疹
眼周囲掻痒	顔面そう痒症
シャント再健術	無し
胃癌死	胃癌
咽喉頭部出血	咽喉頭出血
右網膜中心静脈閉塞症	網膜中心静脈閉塞
貧血悪化	貧血増悪
皮疹（体幹、頭皮）	発疹
甲状腺腫瘍摘出	甲状腺腫瘍
指先シビレ	手指のしびれ感
左後頭葉転移トモセラピー	脳転移
注射部位感覚脱失	注射部位知覚消失
そう痒性発赤疹	紅斑性皮疹
左外耳癌、治療後効果判定腫瘍進展はPD	耳の悪性新生物
皮下転移	皮膚転移
ＨＤＬ－ｃｈｏ上昇［高比重リポ蛋白コレステロール上昇］	高比重リポ蛋白コレステロール増加
口蓋の赤色皮疹	口腔粘膜疹
網膜前膜	黄斑前膜
右下7番慢性根尖性歯周炎	慢性歯根歯周炎
ろれつが回らない	ろれつ不良
便色の異常	変色便
重症大動脈弁狭窄症	大動脈弁狭窄
異常出血ＮＯＳ	異常出血
手足症候群悪化	手足症候群
右眼軽度充血	眼充血
右足第1掌趾関節の疼痛	下肢の関節痛
胃のあたりがムカムカする	胃のむかつき
喉が熱くなった	咽頭灼熱感
ＰＳＡ高値	ＰＳＡ増加
子宮筋腫治療なし	子宮筋腫
父・祖母：高血圧症	心血管障害の家族歴
門脈圧亢進症（特発性）	特発性門脈圧亢進症
そううつ病	躁うつ病
顔が赤い	顔面発赤
上行結腸がん	上行結腸の悪性新生物
ホルモンバランスの乱れ	ホルモン失調
胸部解離性大動脈瘤	解離性大動脈瘤、胸部
CPK値上昇	ＣＰＫ増加
Ｈ１５．ＨＣＣに対し、ＴＡＥ	無し
右肺癌Ｓ６区域切除術後	肺癌
ｈａｎｄ－ｆｏｏｔ症候群	手足症候群
肺動脈血栓塞栓症	肺血栓塞栓症
６１才虫垂粘液のう胞	虫垂粘液嚢胞
手首・足首の痛み	有痛関節
性器出血（細胞診）	処置による出血
肝障害（かんしょうがい）	肝障害
頻尿症	頻尿
疼痛（舌）	舌痛
肺繊維症	肺線維症
鼡径部皮フハクリ	皮膚剥離
特発性肝機能障害	肝機能障害
低ＴＰ	総蛋白低値
甲状腺癌の手術	甲状腺癌
胃癌手術後	胃癌
少量の嘔吐	嘔吐
左親指（第1し）疼痛	母指痛
鼻汁くしゃみ【くしゃみ】	くしゃみ
シャント肢内出血斑	内出血
舌のピリピリ感	舌ピリピリ感
細菌性眼内炎	感染性眼内炎
真菌性尿路感染症	真菌性尿路感染
両腎のう胞(後天性とクエリ記載あり)	後天性腎嚢胞
打撲（左大腿・左腰部）	挫傷
足白癬悪化の疑い	足部白癬
ａｆ．【心房細動】	心房細動
多幸感	多幸症
ｐｍ植込み	無し
小腸出血疑い	小腸出血
注射部位の反応	注射部位反応
膵癌合併なし、分枝型IPMT	膵管内乳頭粘液性腫瘍
陳旧性下壁梗塞	陳旧性心筋梗塞
生後２日の新生児に貧血が発現した	新生児貧血
完全房室ブロック←ペースメーカー挿入２００９．１２．２	完全房室ブロック
30年ほど前に両眼白内障手術	白内障手術
打撲（肩）	肩の挫傷
胸部水疱	水疱
手足の皮慮反応	手足皮膚反応
貧血（Ｈｔ、Ｈｂ、赤血球）【貧血】	貧血
慢性腎不全にて血液透析	慢性腎不全
ＤＭＥ（左眼）	糖尿病性黄斑浮腫
軽度下腹部痛	下腹部痛
肺炎による敗血症	無し
維持療法の必要な逆流性食道炎	逆流性食道炎
右腎・右尿管摘出術	腎尿管切除
後屈子宮	子宮後傾
右卵巣腫瘍摘出	卵巣新生物
右眼部帯状疱疹	眼帯状疱疹
乏血性ショック	血液量減少性ショック
内耳機能障害	内耳障害
顔の吹き出物	ざ瘡
平成１９年５月に脳梗塞	脳梗塞
右下顎腫脹	骨腫脹
多のう胞性卵巣疑い（両側）	多嚢胞性卵巣
盲端症候群	盲係蹄症候群
血性精液	血精液症
傷に菌が入り化膿した	化膿
左肋間神経痛	肋間神経痛
両遠視性乱視（両眼）	遠視性乱視
下肢筋けいれんに伴う疼痛１	下肢痙攣
胃癌の術後	胃癌
自己免疫性胆管炎	胆管炎
塵肺症	じん肺症
左下肢静脈瘤ｏｐｅ後	静脈瘤手術
手足の指先がピリピリする	手足のピリピリ感
赤沈亢進	血沈亢進
発疹（顔面，後頚部）	発疹
体幹に膨疹	限局性蕁麻疹
下肢のシビレ（下肢の違和感）	無し
低Ｃａ血症（カルシウム）	低カルシウム血症
左頬褐色素斑	色素斑
のう胞腎癌	腎癌
１９９６．１１．１８左乳癌手術	乳癌
血栓の拡大	血栓症
喘息様発作	喘息様状態
スモン病	スモン
総胆管結	総胆管結石
右母趾基節骨骨折	母趾骨折
通年性鼻炎アレルギー	通年性アレルギー性鼻炎
糖尿病性自律神経障害	糖尿病性自律神経ニューロパチー
蛋白尿減少目的	蛋白尿
血中アミラーゼ値上昇	血中アミラーゼ増加
右膝プロテーゼ感染	プロテーゼ関連感染
出血性事象：血痰, 出血部位：不確定部位	血痰
視野異常	視覚異常
糖尿病の疑い	糖尿病
薬剤性うたがい	無し
左目眼底出血	眼底出血
シャント周囲のかぶれ	接触皮膚炎
心房中隔欠損	心房中隔欠損症
貧血（Ｈｂ、Ｈｔ値低下）	無し
左ラクナ梗塞	ラクナ梗塞
ＦＮＨ（限局性結節性過形成）	限局性結節性過形成
咬痙	開口障害
シャント肢そう痒感	限局性そう痒
胃手術施行	胃手術
顔面裂傷、打撲【顔面裂傷】	顔面裂傷
胸の痛み	胸痛
膝下にだるさ	筋肉疲労
アルブミン値の低下	アルブミン減少
癌性疼痛	癌疼痛
骨盤-その他-前立腺癌	前立腺癌
両頸肩腕症候群	頚肩腕症候群
鼓膜発赤	鼓膜紅斑
左聴力低下	片耳聴力低下
胃における生検後出血	生検後出血
一過性嘔気	嘔気
お腹のあたりが熱くなる	腹部灼熱感
右橈骨神経マヒ	橈骨神経麻痺
外傷性硬膜外血腫	硬膜外血腫
糖尿性腎	無し
注射部位発赤と熱感、腫脹	注射部位炎症
ＶＨＬ病（フォン・ヒッペル・リンドウ病）	フォンヒッペル・リンダウ病
四肢体幹部の疼痛	疼痛
バセドゥ病	バセドウ病
腹腔内でミレーナを確認	ＩＵＤ腹腔内迷入
ｉ‐ＰＴＨ高値	ＰＴＨ高値
子宮体癌（漿液性癌）	子宮体部癌
カルタンによる胃痛	胃痛
歯肉出血微量	歯肉出血
ヨード誘発性甲状腺機能低下症	ヨード性甲状腺機能低下症
頭皮～顔面のピリピリ感	顔面の錯感覚
神経源性失神	失神
総コレステロール（２４９）高値	コレステロール高値
大動脈解離術後	大動脈解離
1.高尿酸血症	高尿酸血症
髙Ｋ血症	高カリウム血症
治験内服忘れによる不正出血	経口避妊薬服用後の消退出血
左足の太ももが痛い	大腿痛
右足小指胼胝	足の胼胝
ＴＡＴ高値	無し
大腸Ｃａ（Ｈ１９）（大腸癌）	大腸癌
腹満、嘔気	無し
創部掻痒感	創部そう痒
表皮出血	皮膚出血
単一クローン性免疫グロブリン血症	単クローン性免疫グロブリン血症
血中アミラーゼの上昇	血中アミラーゼ増加
薬剤性横紋筋融解症	横紋筋融解症
下咽頭癌放射線照射・手術後	下咽頭癌
ｉＰＴＨ低下	副甲状腺ホルモン減少
急性膀胱炎(膀胱鏡処置後)	急性膀胱炎
肩変形性関節症	変形性肩関節症
疼痛症	疼痛
切除不能進行肝細胞癌	切除不能な肝細胞癌
血管内動脈瘤修復術	動脈瘤修復
①ＡＳＴ上昇②ＡＬＰ上昇③ＣＲＰ上昇④白血球増多⑤好中球増多	無し
甲状腺摘出	甲状腺摘除
左前腕切創部からの出血	創傷出血
総ビリルビン値増加	総ビリルビン増加
中耳炎（右耳）	中耳炎
Ｂ型肝炎ウイルス感染症	Ｂ型ウイルス性肝炎
爪に色素が沈着	爪色素沈着
ＩＵＤ挿入中にアームが頚部で開いた	医療機器装着の問題
放射性ヒフ炎	放射線性皮膚炎
クレアチニンクリアランス増加	腎クレアチニン・クリアランス増加
急性下後壁心筋梗塞	下後壁急性心筋梗塞
心不全による浮腫	無し
消化管穿通	消化管穿孔
脈管炎	血管炎
夜間の頻尿	夜間頻尿
指先チアノーゼ	末梢性チアノーゼ
人工肛門造設	人工肛門
鼻涙管狭窄	涙道閉塞
腹部大動脈瘤Ｙ字グラフト術	大動脈瘤修復
噴門部・静脈瘤からの出血	胃静脈瘤出血
鉄欠同性貧血	鉄欠乏性貧血
Ｈｂ低下	Ｈｂ減少
胃潰瘍穿孔	穿孔性胃潰瘍
大腸内視鏡的粘膜切除術	結腸手術
Ｂ型肝硬変（再発スクリーニング）	肝硬変
上部消化管症状の出現	上部消化管症状
左室緻密化障害	心筋障害
糖尿病のコントロール不良	コントロール不良の糖尿病
両眼脂	眼脂
ＴＥＶＡＲ	血管瘤修復
左肩肘痛	無し
右痛性筋けいれん	筋痙攣
生体弁による大動脈弁置換術後	大動脈弁置換
右外踝痛	足首の痛み
肺アスペルギルス症疑い	肺アスペルギルス症
痰が出てくる	痰
肺高血圧症の持続的悪化	肺高血圧症増悪
高ｉ‐ＰＴＨ血症	ＰＴＨ高値
下腿痛	下肢痛
首が痛い	頚部痛
目のチラチラ感	眼のちらつき
左）白内障	左眼白内障
混合型肝がん	肝癌
目の潤み	流涙
右リンパ腺の腫脹自覚	リンパ節腫脹
手指皮フ炎	手皮膚炎
難治性腹水	腹水
γＧＴＰ上昇	γ－グルタミルトランスフェラーゼ増加
心か部痛	心窩部痛
両足冷感	足の冷感
白衣高血圧症	白衣性高血圧
血栓吸引	血栓除去
９歳赤痢	赤痢
凝固検査異常変動（ＰＴ低下、プラスミノーゲン上昇、プロテインＳ低下）	無し
５９歳狭心症	狭心症
高音漸傾型感音性難聴	高音障害型感音難聴
左上肢湿疹	湿疹
ステロイド白内障	ステロイド誘発性白内障
歯肉の易出血症	出血傾向
鼻前庭膿瘍	鼻膿瘍
足の痺れ	足のしびれ感
血清尿酸値の上昇	血清尿酸増加
ボディビルダーが能力増強のためタンパク同化ステロイド剤を使用した	ステロイド乱用
ＨＣＶ肝炎	Ｃ型肝炎
胆嚢摘除	胆嚢切除
高γーＧＴＰ血症	γ－グルタミルトランスフェラーゼ高値
乾燥性皮膚炎の悪化	皮脂欠乏性皮膚炎
膀胱癌手術後	膀胱癌
左足有棘細胞癌	皮膚有棘細胞癌
両側腎癌	腎癌
血小板上昇	血小板増加
右手ヘバーデン結節	ヘバーデン結節
疼痛（肝）	肝臓痛
ＨＦＳＲ	手足症候群
まぶしさがある	羞明
口内舌炎	無し
所属リンパ節転移	リンパ節転移
睡眠無呼吸症候群	睡眠時無呼吸症候群
胆のうポリープ	胆嚢ポリープ
特発性間質性肺炎	間質性肺炎
白内障老人性	老人性白内障
膀胱壁部分切除	膀胱部分切除
両第６肋骨骨折	第６肋骨骨折
進行肝細胞癌に対する治療	肝細胞癌
浮腫（まぶた）	眼瞼浮腫
肺転移の増悪	肺転移
ヘルニア  下腿部痛	ヘルニア痛
僧房弁閉鎖不全症（４度）	僧帽弁閉鎖不全症
ウィルス性肝炎	ウイルス性肝炎
洞頻脈	洞性頻脈
死亡（癌性悪液質）	癌性悪液質
筋脱力	筋力低下
両下肢筋力低下	下肢筋力低下
左膝内側側副靭帯損傷	膝関節靱帯損傷
胸腺腫術後	胸腺腫
左顔面ゆうぜい	顔面乳頭腫
出血【右眼、詳細不明】	眼出血ＮＯＳ
肛門周囲の皮膚炎	皮膚炎
末梢の浮腫み	末梢性浮腫
中性脂肪上昇	トリグリセリド増加
Ｔ３の低下	Ｔ３減少
黄斑出血	黄斑部出血
手根管開放術	手根管減圧術
敗血症（ペースメーカー感染）	医療機器関連敗血症
狭心症状	狭心症
血清カルシウム低下	血清カルシウム減少
下肢の紅斑	下肢発赤
全身に膨隆疹	全身性蕁麻疹
胃癌摘出術後	胃癌
十二指潰瘍	十二指腸潰瘍
そう痒疹	痒疹
出血性事象（消化管出血）	消化管出血
慢性心不全の急性増悪	急性心不全
薬剤誘発性胞隔炎	胞隔炎
肛門部びらん	肛門びらん
両眼緑内障の悪化	緑内障増悪
左腎摘出術后	腎摘除
アミラーゼ高値（アルコール性肝炎の基盤とＩＶＣ塞栓の影響もありうる）【アミラーゼ高値】	アミラーゼ高値
涙のう炎(手術)	涙嚢炎
両変形性膝関節症	変形性股関節症
Ｓｔｅｖｅｎｓ‐Ｊｏｈｎｓｏｎｓｙｎｄｒｏｍ	スティーブンス・ジョンソン症候群
腸内ガス増加	腸管内ガス発生
頭がい内出血	頭蓋内出血
卵巣のう腫３３才時切除	卵巣嚢腫摘出術
右ヒザ痛	右膝痛
接触性皮フ炎（鼻下）	接触皮膚炎
発症日不明のＡＦに対してアンカロンＤＣにて除細動した【心房細動】	心房細動
右足けいれん	足の痙攣
６７歳卵巣嚢腫手術	卵巣嚢腫摘出術
内服困難	無し
違和感（不安感）	不安感
右前胸部打撲	胸の挫傷
尋常性ざ瘡（カオ）	尋常性ざ瘡
肝キノウ異常	肝機能異常
進行Ｓ状結腸癌	Ｓ状結腸の悪性新生物
腰椎４・５不全骨折	腰椎骨折
後発白内障（左眼）	後発白内障
胃穿孔オペ後	胃穿孔修復
2015.10.19骨盤-子宮体癌	子宮体部癌
胸やけなどの胃腸症状	胸やけ
両側肺門リンパ節腫脹	肺門リンパ節腫脹
かゆみ（発疹）	そう痒性皮疹
７４歳子宮癌	子宮癌
両足白癬症	足部白癬
ＩＵＤ腹腔内脱出	ＩＵＤ脱出
大腸菌Ｏ２５感染症	大腸菌感染
手足症候群（特に足）	手足症候群
発疹（左眼瞼）	眼瞼発疹
下腹痛の（月経時）	月経痛
急性進行性腎炎	急性腎炎
網膜ハク離	網膜剥離
ＰＤ腹膜炎【腹膜透析】	腹膜炎
腹圧をかけないと尿が出にくい	排尿困難
右老人性黄斑変性症	加齢黄斑変性
紅斑（全身性）	全身紅斑
眠気の継続	眠気
右人工股関節置換	人工股関節置換
足底部痛	足部痛
筋肉（左大腿）内出血	筋肉内出血
左第三指切創	指の損傷ＮＯＳ
梅毒既感染	梅毒
爪白癬症	爪白癬
ＰＭＳ	無し
Ａ－Ｐｓｈｕｎｔ	門脈シャント
ＡＬＢの低下	アルブミン減少
視力、光覚弁に低下	視力低下
脳梗塞（右小脳脚）	小脳梗塞
ＢＭＳ植込み	ステント装着
下腹部鈍痛	下腹部痛
尿蛋白の悪化	尿蛋白
第１腰椎椎体骨折	第１腰椎骨折
白血球の増加	白血球増加
粟粒大の丘疹	丘疹
アレルギー症状（皮膚症状）	アレルギー性皮膚反応
両頬に発疹	顔面発疹
関節痛（両手）	手の関節痛
Ｈｕｎｔ症候群	無し
糖尿病性かは不明	無し
右手のしびれ	手のしびれ感
口喉頭癌	無し
胃過形成ポリープ	胃過形成性ポリープ
狭心症の疑い	狭心症
指がむくむ	指の浮腫
透析時血液凝固	透析ライン中血液凝固
皮疹（踵、手足の指先）	四肢皮疹
歯痛（顎痛）	無し
乾皮症性湿疹	乾燥性湿疹
非特異的ＳＴおよび／またはＴ波異常	心電図ＳＴ－Ｔ部分異常
抑うつ状況	抑うつ状態
胆のう結石症	胆嚢結石症
薬剤性肝障害	薬剤誘発性肝疾患
ｉ‐ＰＴＨ異常変動	ＰＴＨ異常
胃のムカムカ感	胃のむかつき
多型滲出性紅斑	多形滲出性紅斑
子宮摘出術	子宮摘出
胆のう炎→胆のう摘出術	胆嚢炎
頚部右下結節状腫瘤	頚部腫瘤
４９歳糖尿病	糖尿病
皮下出血（左大腿部）	皮下出血
四肢結節性痒疹	結節性痒疹
術中出血量多く輸血	術中出血
高ＬＤＬ-Ｃ血症	高ＬＤＬコレステロール血症
皮疹（四肢、体幹）	全身性皮疹
骨ずい異形成症候群	骨髄異形成症候群
多嚢胞性卵胞症候群	多嚢胞性卵巣症候群
胆石疑い	胆石
腰部脊柱管狭窄症（腰椎後方固定術）	腰部脊柱管狭窄症
直腸癌（＇０４．１１．３０）	直腸癌
慢性閉塞性肺疾患（COPD）	慢性閉塞性肺疾患
滅菌	感染予防
機能性便秘症	便秘
溢水	水分過剰
両下腿皮脂減少性皮膚炎	皮脂欠乏性皮膚炎
左側腹部粉瘤皮下粉瘤	皮下粉瘤
大腸癌切除後	大腸癌
夏ばて【疲労】	疲労
大腸ガン術後（Ｈ１２年）	大腸癌
右下腿骨折１９８１年頃	下肢骨折
子宮内膜ポリープ疑い	子宮内膜ポリープ
塞栓源不明脳梗塞	塞栓性脳梗塞
網膜中心静脈閉塞症（左眼）	網膜中心静脈閉塞
ヘルニア手術後	ヘルニア修復
γＧＴ増加	γＧＴ増加
γ-GTP上昇	γ－グルタミルトランスフェラーゼ増加
インスリン浮腫	浮腫
抜歯後の出血がひどい	術後出血
滑液胞炎	滑液包炎
血糖値低下	血糖減少
起立時のふらつき	起立性めまい
眼内圧亢進	眼圧上昇
左大腿部湿疹	湿疹
足底挫創	足の損傷
脂漏性角化症（左ソ径）	脂漏性角化症
舌癌術後	舌癌
心房期外収縮	心房性期外収縮
出眠時麻痺	覚醒時麻痺
手足がピリピリする	手足のピリピリ感
アスピリン、クロピドグレルとダビガトランの相互作用	薬物相互作用
下大静脈圧排	静脈圧迫
常位胎盤早期剥離	胎盤早期剥離
陳旧性の左小脳の無症候性脳梗塞	小脳梗塞
右前腕尺骨側皮下出血	皮下出血
巨大肝細胞癌	肝細胞癌
（ＨＣＶキャリア）	Ｃ型肝炎キャリアー
咳	咳嗽
皮膚膿疱～水疱	水疱膿疱性皮疹
胃Dieulafoy様潰瘍	消化管出血
脳腫瘍内出血	頭蓋内腫瘍出血
左肩の疼痛	肩痛
性行時痛	性交疼痛
ｒｕｓｈ	発疹
右耳介外耳皮疹	外耳皮疹
両側副甲状腺腫	副甲状腺腺腫
ヘリコバクターピロリ菌感染	ヘリコバクター・ピロリ感染
右膝の水腫	右膝関節滲出液
胃腸障害（むかつき）	悪心
遠隔転移巣（リンパ節）	リンパ節転移
便潜血＋	便潜血陽性
運動機能レベル変動	運動機能変動
嚥下力低下	嚥下障害
左大腿筋炎	筋炎
上半身発疹	発疹
出血性胃潰瘍の既往	出血性胃潰瘍
表皮のう腫	皮膚嚢腫
仮性メニエール	詳細不明のメニエール病
インプラント施術後（歯）	歯科インプラント埋込み
血圧の上昇	血圧上昇
右腎摘後（事故で手術）	事故
胸部軽度発疹	発疹
脳梗塞（Ｈ５）	脳梗塞
右チョコレートのう胞	卵巣チョコレート嚢胞
左尿管結石手術	尿管結石除去
ＣＫ値上昇	ＣＫ増加
左卵管水腫	卵管水腫
前立腺内石灰化	前立腺石灰化
アミロイドーシス（胃十二指腸粘膜固有層）	消化管アミロイドーシス
フェリチン低下	フェリチン減少
骨腫瘍	骨新生物
腹満感	腹部膨満感
胃潰瘍●	胃潰瘍
経カテーテル的肝動脈化学塞栓術	経カテーテル動脈化学塞栓術
卵巣のう腫（奇形腫）茎捻転	卵巣嚢腫茎捻転
悪性神経鞘腫	悪性神経線維鞘腫
Ｄ－Ｂｉｌ値上昇	直接ビリルビン増加
右骨盤部痛	骨盤痛
鼓腸放屁	鼓腸
ひどいめまい	めまい感
ビリルビン値低下	血中ビリルビン減少
閉塞性黄疸（肝門部胆管狭窄）	無し
感染性多発腎のう胞	腎嚢胞感染
節々の痛み	関節痛
右下顎部挫傷部出血	外傷性出血
多発関節痛	多発性関節痛
咽頭摘出後	咽頭切除
左上腕骨外上顆炎	外側上顆炎
ASTROCYTOMAの手術	星細胞腫手術
肝機能障害ｇｒａｄｅ３	肝機能障害
痔ロウ	痔瘻
右前腕蜂窩織炎	腕蜂巣炎
死亡【心筋梗塞による】	心筋梗塞
てんかん小型運動発作	てんかん発作
６０年前虫垂炎にて手術	虫垂炎
（呼吸困難）肺気腫	無し
合併症の悪化(低カルシウム血症)	低カルシウム血症
アルコールアレルギー【化学物質アレルギー】	化学物質アレルギー
トンネル感染	血管確保部位感染
右拇趾爪剥離	爪破損
大腿骨骨頭のう胞	骨嚢腫
薬疹（播種性紅斑状丘診）	紅斑丘疹型薬疹
Ｓ字結腸からの出血	結腸出血
左大腿骨頸基部骨折	大腿骨頚部骨折
膝変性関節症	変形性膝関節症
一過性低Γグロブリン血症	一過性低γグロブリン血症
臀部の痛み	殿部痛
頚部脊髄圧迫	頚髄圧迫
関節リウマチ炎	関節リウマチ
喉頭癌手術(1985年)	喉頭癌
慢性結節性痛風	痛風結節
嗅覚脱失	嗅覚消失
ＩＮＦα療法	インターフェロンα療法
腎癌による進行のため（腎癌の進行）	腎癌
右側不全麻痺	不全片麻痺（右）
両肺透過性低下【画像検査における肺透過性低下】	胸部Ｘ線異常
十二指腸乳頭がんの悪化	十二指腸癌
肺結核術後	肺結核
慢性動脈閉鎖症	動脈閉塞
ASCENT OF POTASSIUM	カリウム増加
リンパ節摘出	リンパ節切除
他院より処方されていた持参薬を継続して内服している為、詳細不明	無し
慢性腎不全１９７８年より血液透析中	慢性腎不全
右上腕骨頸部骨折	上腕骨骨折
貧血傾向	貧血
右腎のう胞	腎嚢胞
血管炎（静脈炎）	静脈炎
三尖弁閉閉不全	三尖弁閉鎖不全症
右蝶形骨洞炎	副鼻腔炎
鼻炎、急性上気道炎	無し
左下肢帯状疱疹	帯状疱疹皮膚炎
湿疹（背部から右腋窩）	湿疹
副甲状腺の手術	副甲状腺手術
人工妊娠中絶	妊娠中絶
急性心臓死	心突然死
肝動脈瘤増大	肝動脈瘤
脊髄腫瘍【腫瘍病理区分不明】	脊髄新生物
右上下肢マヒ	右側麻痺
アキネジア発作	無動発作
リュウマチ性多発筋痛	リウマチ性多発筋痛
Ｂ型肝炎キャリア	Ｂ型肝炎キャリアー
子宮石灰化	子宮障害
慢性胃潰瘍	胃潰瘍
扁桃炎→切除	扁桃炎
鼡径部【痛み】	鼡径部痛
Γインターフェロン正常	インターフェロンγ正常
指の関節痛	関節痛
副甲状腺摘出術後	副甲状腺摘出
左大腿骨骨髄炎	骨髄炎
左膝滑液包内血腫【関節血腫】	関節血腫
右中大脳動脈領域脳梗塞	中大脳動脈梗塞
左下肢疼痛	下肢痛
首すじのはり	頚部硬直
限局性脂肪沈着の疑い	脂肪組織増加
食欲低下（Ｇ２）	食欲低下
手足反応（手足症候群）	手足症候群
消化管出血５２才時	消化管出血
左下肢神経痛	下肢神経痛
発熱３８．９	発熱
左ヒザＯＡ（変形性関節症）	変形性膝関節症
胆嚢炎時に胆泥	無し
血栓性塞栓	血栓塞栓症
接触性皮膚炎（顔、左手）	接触皮膚炎
腹腔鏡下補助下右肺中葉切除術	肺葉切除
二次性副甲状腺機能亢進悪化	続発性副甲状腺機能亢進症
ＣＡ７２／４レベル上昇	腫瘍マーカー上昇
倦怠感、下痢、ＨＴ	無し
尿凝血塊	尿中凝血塊
左側腹部疼痛	側腹部痛
湿疹（下腹部）	湿疹
非回転性めまい	めまい感
右手指傷	指の損傷ＮＯＳ
開胸部術後疼痛	術後痛
アスベスト肺	石綿肺症
下肢閉塞性動脈硬化症の拡張術	下肢閉塞性動脈硬化症
手のむくみ、足のむくみ	四肢浮腫
’００年胃癌手術	胃癌
腰椎椎間板ヘルニア後遺症	腰椎椎間板ヘルニア
呂律が回らない	ろれつ不良
挫創治癒遅延	創傷治癒遅延
硬膜下血腫再発	硬膜下血腫
手足皮膚病	皮膚障害
インフルエンザＡ	Ａ型インフルエンザウイルス感染
頭部外傷からの出血	外傷性出血
血清Β２ミクログロブリン増加	血清β２ミクログロブリン増加
腱反射テスト：減少	腱反射減退
大腸癌（２５．２．１ＣＦにてｍａｓｓ＋確定は２・９）	大腸癌
胸腹部リンパ節転移	リンパ節転移
甲状腺ホルモン上昇	甲状腺ホルモン増加
中心網膜厚増加（左眼）	黄斑部網膜厚測定
不明（感冒薬）	無し
血腫（膝裏）	血腫
悪性線維組織球腫	悪性線維性組織球腫
咽頭部浮腫	咽頭浮腫
非結核性抗酸菌症	非定型抗酸菌症
片側顔面神経痙攣	片側顔面痙攣
ＣＦポリペクトミー	結腸ポリープ切除
風味障害【味覚障害】	味覚障害
進行性咳	咳嗽増悪
皮膚そう痒感（両腕）	四肢そう痒感
大腸粘膜下腫瘍	結腸新生物
口内炎（粘膜炎）	口腔粘膜炎
CATARACT	白内障
軽度血小板減少	血小板減少
癌性疼痛（２００４．１１．１～）	癌疼痛
全身化学療法歴	化学療法
左下肢エデマ	下肢浮腫
左慢性副鼻腔炎	慢性副鼻腔炎
両下肢こむらがえり	こむら返り
右下肢関節痛	下肢の関節痛
胸膜炎増悪	胸膜炎
膵酵素上昇アミラーゼ上昇	アミラーゼ増加
ウェジェナー肉芽腫症	ウェゲナー肉芽腫症
進行性胃癌	胃癌
過活動ぼうこう	過活動性膀胱
手足疼痛	四肢痛
まぶしさ	羞明
子宮筋腫全摘	子宮筋腫
便秘増強	便秘増悪
眼瞼皮膚悪性腫瘍切除	皮膚の悪性新生物
